Table 1
id,acct_code_set_description,company,ref_number,date,vendor_employee,FF2,standardized_reclamation_cost_estimator,item_description,amount
127,2790_1510 INT JUMP STREET CHAPEL,001,5929 ,05/12/11,AMERICAN EXPRESS,LP,AX,SCHWINN RACER_BICYCLE MICHAELS,435.00 
128,2790_1510 INT JUMP STREET CHAPEL,001,5929 ,05/12/11,AMERICAN EXPRESS,TAX,AX,SCHWINN RACER_BICYCLE MICHAELS,39.15 
129,2790_1510 INT JUMP STREET CHAPEL,001,5929 ,05/12/11,AMERICAN EXPRESS,LP,AX,SCHWINN JENNY_BICYCLE MICHAELS,450.00 
130,2790_1510 INT JUMP STREET CHAPEL,001,5929 ,05/12/11,AMERICAN EXPRESS,TAX,AX,SCHWINN JENNY_BICYCLE MICHAELS,40.50 
131,2790_1510 INT JUMP STREET CHAPEL,001,5930 ,05/12/11,AMERICAN EXPRESS,LP,AX,BIKE DELL CRANBROOK_BICYCLE MI,325.00 
132,2790_1510 INT JUMP STREET CHAPEL,001,5930 ,05/12/11,AMERICAN EXPRESS,TAX,AX,BIKE DELL CRANBROOK_BICYCLE MI,29.25 
133,2790_1510 INT JUMP STREET CHAPEL,001,5930 ,05/12/11,AMERICAN EXPRESS,LP,AX,BIKE ORIGIN 8 DEL PASADO_BIKE,470.00 
134,2790_1510 INT JUMP STREET CHAPEL,001,5930 ,05/12/11,AMERICAN EXPRESS,TAX,AX,BIKE ORIGIN 8 DEL PASADO_BIKE,42.30 
135,2790_1510 INT JUMP STREET CHAPEL,001,5930 ,05/12/11,AMERICAN EXPRESS,LP,AX,ABJS BORDO KEY LOCK_BICYCLE MI,110.00 
136,2790_1510 INT JUMP STREET CHAPEL,001,5930 ,05/12/11,AMERICAN EXPRESS,TAX,AX,ABJS BORDO KEY LOCK_BICYCLE MI,9.90 
137,2790_1510 INT JUMP STREET CHAPEL,001,6760 ,05/19/11,LIGHT BULB DEPOT 2 LLC,LP,AP,4X FLRESCNT TUBES,227.80 
138,2790_1510 INT JUMP STREET CHAPEL,001,6760 ,05/19/11,LIGHT BULB DEPOT 2 LLC,TAX,AP,4X FLRESCNT TUBES,19.93 
139,2790_1510 INT JUMP STREET CHAPEL,001,7866 ,05/24/11,AMERICAN EXPRESS,LP,AX,1X BLK SPUN FLR LAMP_DESIGN W/,1,962.26
140,2790_1510 INT JUMP STREET CHAPEL,001,7866 ,05/24/11,AMERICAN EXPRESS,TAX,AX,1X BLK SPUN FLR LAMP_DESIGN W/,143.28 
141,2790_1510 INT JUMP STREET CHAPEL,001,7866 ,05/24/11,AMERICAN EXPRESS,LP,AX,2X RED PENDANT LAMPS_DESIGN W/,956.26 
142,2790_1510 INT JUMP STREET CHAPEL,001,7866 ,05/24/11,AMERICAN EXPRESS,TAX,AX,2X RED PENDANT LAMPS_DESIGN W/,52.74 
143,2790_1510 INT JUMP STREET CHAPEL,001,2908 ,04/20/11,SMITHnBRENT DRAKE,LP,AP,4INCH KOREAN JESUS SCULPTURE,1150.00
144,2790_1510 INT JUMP STREET CHAPEL,001,9001 ,06/01/11,,LL,JE 068,LBR 4INCH KOREAN JESUS SCULPTURE,2900.00
203,2790_1513 EXT SCHMIDT HOME,001,11772 ,06/14/11,AMERICAN EXPRESS,LP,AX,WAGON WHEEL BENCH_HOBBY LOBBY,419.99 
204,2790_1513 EXT SCHMIDT HOME,001,11772 ,06/14/11,AMERICAN EXPRESS,TAX,AX,WAGON WHEEL BENCH_HOBBY LOBBY,39.90 
205,2790_1516 INT SCHMIDT HOME,001,1051 ,03/30/11,RENAISSANCE INTERIORS LLC,LP,AP,19TH CNTRY LA PINE TRUNK,260.00 
206,2790_1516 INT SCHMIDT HOME,001,1051 ,03/30/11,RENAISSANCE INTERIORS LLC,TAX,AP,19TH CNTRY LA PINE TRUNK,22.75 
207,2790_1516 INT SCHMIDT HOME,001,1051 ,03/30/11,RENAISSANCE INTERIORS LLC,LP,AP,DOLPHIN SCULPTURE,165.00 
208,2790_1516 INT SCHMIDT HOME,001,1051 ,03/30/11,RENAISSANCE INTERIORS LLC,TAX,AP,DOLPHIN SCULPTURE,14.44 
209,2790_1516 INT SCHMIDT HOME,001,1051 ,03/30/11,RENAISSANCE INTERIORS LLC,LP,AP,RUSTIC WOOD CONSOLE,275.00 
210,2790_1516 INT SCHMIDT HOME,001,1051 ,03/30/11,RENAISSANCE INTERIORS LLC,TAX,AP,RUSTIC WOOD CONSOLE,24.06 
211,2790_1516 INT SCHMIDT HOME,001,1051 ,03/30/11,RENAISSANCE INTERIORS LLC,LP,AP,VNTGE FRNCH RSH SEAT ARM CHAIR,175.00 
212,2790_1516 INT SCHMIDT HOME,001,1051 ,03/30/11,RENAISSANCE INTERIORS LLC,TAX,AP,VNTGE FRNCH RSH SEAT ARM CHAIR,15.31 
213,2790_1516 INT SCHMIDT HOME,001,1051 ,03/30/11,RENAISSANCE INTERIORS LLC,LP,AP,VNTGE 2 LEVEL SDE TBLE,100.00 
214,2790_1516 INT SCHMIDT HOME,001,1051 ,03/30/11,RENAISSANCE INTERIORS LLC,TAX,AP,VNTGE 2 LEVEL SDE TBLE,8.75 
215,2790_1516 INT SCHMIDT HOME,001,1051 ,03/30/11,RENAISSANCE INTERIORS LLC,LP,AP,ITALIAN NAUTZZI LTHR SOFA,425.00 
216,2790_1516 INT SCHMIDT HOME,001,1051 ,03/30/11,RENAISSANCE INTERIORS LLC,TAX,AP,ITALIAN NAUTZZI LTHR SOFA,37.19 
217,2790_1516 INT SCHMIDT HOME,001,1051 ,03/30/11,RENAISSANCE INTERIORS LLC,LP,AP,ART GLASS BULL,100.00 
218,2790_1516 INT SCHMIDT HOME,001,1051 ,03/30/11,RENAISSANCE INTERIORS LLC,TAX,AP,ART GLASS BULL,8.75 
219,2790_1516 INT SCHMIDT HOME,001,1051 ,03/30/11,RENAISSANCE INTERIORS LLC,LP,AP,PLNKTOP SDE TBLE W/PULL SLDE,375.00 
220,2790_1516 INT SCHMIDT HOME,001,1051 ,03/30/11,RENAISSANCE INTERIORS LLC,TAX,AP,PLNKTOP SDE TBLE W/PULL SLDE,32.81 
221,2790_1516 INT SCHMIDT HOME,001,1051 ,03/30/11,RENAISSANCE INTERIORS LLC,LP,AP,2X PLNKTOP TBLES W/BURLED SLDE,750.00 
222,2790_1516 INT SCHMIDT HOME,001,1051 ,03/30/11,RENAISSANCE INTERIORS LLC,TAX,AP,2X PLNKTOP TBLES W/BURLED SLDE,65.63 
